VALUE,FCCS,FCCSID,FCCS_REG,FUELBED,R,G,B,RED,GREEN,BLUE
2340112,2340112,0234-112,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340113,2340113,0234-113,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340121,2340121,0234-121,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340122,2340122,0234-122,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340123,2340123,0234-123,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340131,2340131,0234-131,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340132,2340132,0234-132,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340133,2340133,0234-133,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340211,2340211,0234-211,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340212,2340212,0234-212,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340213,2340213,0234-213,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340221,2340221,0234-221,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340222,2340222,0234-222,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340223,2340223,0234-223,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340231,2340231,0234-231,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340232,2340232,0234-232,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340233,2340233,0234-233,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340311,2340311,0234-311,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340312,2340312,0234-312,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340313,2340313,0234-313,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340321,2340321,0234-321,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340322,2340322,0234-322,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340323,2340323,0234-323,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340331,2340331,0234-331,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340332,2340332,0234-332,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340333,2340333,0234-333,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340411,2340411,0234-411,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340412,2340412,0234-412,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340413,2340413,0234-413,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340421,2340421,0234-421,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340422,2340422,0234-422,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340423,2340423,0234-423,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340431,2340431,0234-431,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340432,2340432,0234-432,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2340433,2340433,0234-433,Southwest,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
2350111,2350111,0235-111,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350112,2350112,0235-112,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350113,2350113,0235-113,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350121,2350121,0235-121,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350122,2350122,0235-122,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350123,2350123,0235-123,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350131,2350131,0235-131,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350132,2350132,0235-132,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2350133,2350133,0235-133,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland - postfire,255,191,102,1,0.74902,0.4
2360111,2360111,0236-111,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360112,2360112,0236-112,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360113,2360113,0236-113,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360121,2360121,0236-121,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360122,2360122,0236-122,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360123,2360123,0236-123,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360131,2360131,0236-131,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360132,2360132,0236-132,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2360133,2360133,0236-133,Southwest,Tobosa-grama grassland,140,112,80,0.54902,0.439216,0.313725
2370111,2370111,0237-111,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370112,2370112,0237-112,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370113,2370113,0237-113,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370121,2370121,0237-121,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370122,2370122,0237-122,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370123,2370123,0237-123,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370131,2370131,0237-131,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370132,2370132,0237-132,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370133,2370133,0237-133,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370211,2370211,0237-211,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370212,2370212,0237-212,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370213,2370213,0237-213,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370221,2370221,0237-221,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370222,2370222,0237-222,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370223,2370223,0237-223,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370231,2370231,0237-231,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370232,2370232,0237-232,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370233,2370233,0237-233,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370311,2370311,0237-311,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370312,2370312,0237-312,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370313,2370313,0237-313,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370321,2370321,0237-321,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370322,2370322,0237-322,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370323,2370323,0237-323,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370331,2370331,0237-331,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370332,2370332,0237-332,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370333,2370333,0237-333,Pacific Northwest,Huckleberry-heather shrubland,171,145,106,0.670588,0.568627,0.415686
2370411,2370411,0237-411,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370412,2370412,0237-412,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370413,2370413,0237-413,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370421,2370421,0237-421,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370422,2370422,0237-422,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370423,2370423,0237-423,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370431,2370431,0237-431,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370432,2370432,0237-432,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2370433,2370433,0237-433,Pacific Northwest,Huckleberry-heather shrubland,140,112,80,0.54902,0.439216,0.313725
2380111,2380111,0238-111,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380112,2380112,0238-112,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380113,2380113,0238-113,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380121,2380121,0238-121,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380122,2380122,0238-122,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380123,2380123,0238-123,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380131,2380131,0238-131,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380132,2380132,0238-132,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380133,2380133,0238-133,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380211,2380211,0238-211,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380212,2380212,0238-212,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380213,2380213,0238-213,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380221,2380221,0238-221,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380222,2380222,0238-222,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380223,2380223,0238-223,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380231,2380231,0238-231,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380232,2380232,0238-232,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380233,2380233,0238-233,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380311,2380311,0238-311,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380312,2380312,0238-312,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380313,2380313,0238-313,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380321,2380321,0238-321,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380322,2380322,0238-322,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380323,2380323,0238-323,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380331,2380331,0238-331,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380332,2380332,0238-332,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380333,2380333,0238-333,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380411,2380411,0238-411,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380412,2380412,0238-412,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380413,2380413,0238-413,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380421,2380421,0238-421,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380422,2380422,0238-422,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380423,2380423,0238-423,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380431,2380431,0238-431,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380432,2380432,0238-432,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380433,2380433,0238-433,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380511,2380511,0238-511,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380512,2380512,0238-512,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380513,2380513,0238-513,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380521,2380521,0238-521,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380522,2380522,0238-522,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380523,2380523,0238-523,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380531,2380531,0238-531,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380532,2380532,0238-532,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2380533,2380533,0238-533,Pacific Northwest,Pacific silver fir-mountain hemlock forest,0,71,0,0,0.278431,0
2390111,2390111,0239-111,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390112,2390112,0239-112,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390113,2390113,0239-113,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390121,2390121,0239-121,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390122,2390122,0239-122,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390123,2390123,0239-123,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390131,2390131,0239-131,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390132,2390132,0239-132,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390133,2390133,0239-133,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390211,2390211,0239-211,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390212,2390212,0239-212,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390213,2390213,0239-213,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390221,2390221,0239-221,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390222,2390222,0239-222,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390223,2390223,0239-223,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390231,2390231,0239-231,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390232,2390232,0239-232,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390233,2390233,0239-233,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390311,2390311,0239-311,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390312,2390312,0239-312,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390313,2390313,0239-313,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390321,2390321,0239-321,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390322,2390322,0239-322,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390323,2390323,0239-323,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390331,2390331,0239-331,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390332,2390332,0239-332,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390333,2390333,0239-333,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390411,2390411,0239-411,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390412,2390412,0239-412,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390413,2390413,0239-413,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390421,2390421,0239-421,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390422,2390422,0239-422,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390423,2390423,0239-423,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390431,2390431,0239-431,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390432,2390432,0239-432,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390433,2390433,0239-433,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390511,2390511,0239-511,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390512,2390512,0239-512,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390513,2390513,0239-513,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390521,2390521,0239-521,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390522,2390522,0239-522,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390523,2390523,0239-523,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390531,2390531,0239-531,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390532,2390532,0239-532,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2390533,2390533,0239-533,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest - 6 years post wildfire,0,51,0,0,0.2,0
2400111,2400111,0240-111,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400112,2400112,0240-112,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400113,2400113,0240-113,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400121,2400121,0240-121,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400122,2400122,0240-122,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400123,2400123,0240-123,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400131,2400131,0240-131,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400132,2400132,0240-132,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400133,2400133,0240-133,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400211,2400211,0240-211,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400212,2400212,0240-212,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400213,2400213,0240-213,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400221,2400221,0240-221,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400222,2400222,0240-222,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400223,2400223,0240-223,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400231,2400231,0240-231,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400232,2400232,0240-232,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400233,2400233,0240-233,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400311,2400311,0240-311,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400312,2400312,0240-312,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400313,2400313,0240-313,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400321,2400321,0240-321,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400322,2400322,0240-322,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400323,2400323,0240-323,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400331,2400331,0240-331,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400332,2400332,0240-332,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400333,2400333,0240-333,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400411,2400411,0240-411,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400412,2400412,0240-412,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400413,2400413,0240-413,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400421,2400421,0240-421,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400422,2400422,0240-422,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400423,2400423,0240-423,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400431,2400431,0240-431,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400432,2400432,0240-432,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2400433,2400433,0240-433,Southeast,Saw palmetto/three-awned grass shrubland,194,170,126,0.760784,0.666667,0.494118
2410111,2410111,0241-111,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410112,2410112,0241-112,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410113,2410113,0241-113,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410121,2410121,0241-121,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410122,2410122,0241-122,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410123,2410123,0241-123,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410131,2410131,0241-131,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410132,2410132,0241-132,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410133,2410133,0241-133,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410211,2410211,0241-211,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410212,2410212,0241-212,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410213,2410213,0241-213,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410221,2410221,0241-221,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410222,2410222,0241-222,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410223,2410223,0241-223,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410231,2410231,0241-231,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410232,2410232,0241-232,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410233,2410233,0241-233,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410311,2410311,0241-311,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
2410312,2410312,0241-312,Southeast,Longleaf-loblolly pine forest with hurricane damage,116,214,204,0.454902,0.839216,0.8
