VALUE,EVT_FUEL,EVT_FUEL_N,R,G,B,RED,GREEN,BLUE
4443,4443,Sh North American Arctic Polygonal Ground Shrub & Tussock Tundra,255,73,28,1,0.286275,0.109804
4445,4445,Sh North American Arctic Sparse Tundra,255,102,0,1,0,0
4446,4446,He North American Arctic Wet Sedge Tundra and Polygonal Ground ,255,205,112,1,0.803922,0.439216
4447,4447,He North American Arctic-Subarctic Coastal Dune & Beach,255,0,0,1,0,0
4448,4448,Sh North American Arctic and Subarctic Shrub-Tussock Tundra,255,73,28,1,0,0
4449,4449,He North American Arctic-Subarctic Tidal Salt and Brackish Marsh,255,153,10,1,1,0
4450,4450,He North American Arctic and Subarctic Tussock Tundra,255,73,28,1,0,0
4453,4453,Sh Western North American Boreal Alpine Dwarf-shrubland,212,129,34,1,1,0
4461,4461,He Western North American Boreal Freshwater Emergent Marsh,255,153,0,1,1,0
4462,4462,Tr Western North American Boreal Lowland Large River Floodplain Conifer Forest,18,76,135,0,0,1
4467,4467,Tr Western North American Boreal Mesic-Wet Black Spruce Forest and Woodland,182,250,227,1,1,1
4468,4468,Tr Western North American Boreal Montane Floodplain Conifer Forest,18,76,135,0,0,1
4469,4469,Tr Western North American Boreal Riparian Stringer Conifer Forest,18,76,135,0,0,1
4472,4472,Sh Western North American Boreal Shrub-Sedge Bog & Acidic Fen,150,58,12,1,0,0
4484,4484,Tr Western North American Boreal Mesic-Wet Black Spruce-Hardwood Forest and Woodland,182,250,227,1,1,1
4485,4485,Tr Alaskan Pacific Floodplain Deciduous Forest,18,76,135,0,0,1
4486,4486,Tr Alaskan Pacific Floodplain Mixed Forest,18,76,135,0,0,1
4487,4487,Tr Western North American Boreal Lowland Large River Floodplain Deciduous Forest,18,76,135,0,0,1
4488,4488,Tr Western North American Boreal Lowland Large River Floodplain Mixed Forest,18,76,135,0,0,1
4489,4489,Tr Western North American Boreal Montane Floodplain Deciduous Forest,18,76,135,0,0,1
4490,4490,Tr Western North American Boreal Montane Floodplain Mixed Forest,18,76,135,0,0,1
4491,4491,Tr Western North American Boreal Riparian Stringer Deciduous Forest,18,76,135,0,0,1
4492,4492,Tr Western North American Boreal Riparian Stringer Mixed Forest,18,76,135,0,0,1
4601,4601,Sps Micronesian Dry Cliff,100,100,100,0.39215,0.39215,0.39215
4602,4602,Sps Micronesian Dry-Site Lava Flow,100,100,100,0.39215,0.39215,0.39215
4603,4603,Sh Micronesian Dry Coastal Strand,42,255,31,0.1647,1,0.12156
4604,4604,Tr Micronesian Lowland Rain Forest,0,189,0,0,0.74117,0
4605,4605,Tr Micronesian Lowland Limestone Forest,63,255,46,0.24705,1,0.18039
4606,4606,Tr Central and Southern Polynesian Montane Rainforest,0,189,0,0,0.74117,0
4609,4609,Tr Micronesian Ravine and Riparian Forest and Shrubland,0,237,0,0,0.92941,0
4609,4609,Tr Micronesian Ravine and Riparian Forest and Shrubland,0,237,0,0,0.92941,0
4610,4610,He Polynesian Freshwater Marsh,255,153,0,1,0.6,0
4611,4611,Tr Micronesian Swamp Forest,67,162,181,0.26274,0.63529,0.7098
4612,4612,Tr Western Pacific Mangrove,0,237,0,0,0.92941,0
4614,4614,Tr Central and Southern Polynesian Coastal Wooded Strand,0,189,0,0,0.74117,0
4615,4615,Sps Central and Southern Polynesian Cliff,100,100,100,0.39215,0.39215,0.39215
4616,4616,Sps Central and Southern Polynesian Lava Flow,100,100,100,0.39215,0.39215,0.39215
4617,4617,Sh Central and Southern Polynesian Dry Coastal Strand,100,100,100,0.39215,0.39215,0.39215
4618,4618,Tr Central and Southern Polynesian Lowland Rain Forest,224,252,192,0.87843,0.98823,0.75294
4620,4620,Tr Central and Southern Polynesian Cloud Forest,0,204,0,0,0.8,0
4621,4621,Tr Central and Southern Polynesian Littoral Forest,42,255,31,0.1647,1,0.12156
4622,4622,Tr Pacific Islands Ravine Forest,0,237,0,0,0.92941,0
4623,4623,Tr Central and Southern Polynesian Swamp Forest,67,162,181,0.26274,0.63529,0.7098
4627,4627,Sh Central and Southern Polynesian Dry Coastal Strand Shrubland,42,255,31,0.1647,1,0.12156
4628,4628,Sh Central and Southern Polynesian Dry Coastal Strand Shrubland,42,255,31,0.1647,1,0.12156
4800,4800,"Tr 2815, 2817, 2821, 2899 Exotic - Short Herb",255,105,46,1,0.41176,0.18039
4801,4801,"Tr 2815, 2817, 2821, 2899 Exotic - Medium Herb",255,105,46,1,0.41176,0.18039
4802,4802,"Tr 2815, 2817, 2821, 2899 Exotic - Tall Herb",255,105,46,1,0.41176,0.18039
