VALUE,EVT_FUEL,EVT_FUEL_N,R,G,B,RED,GREEN,BLUE
2358,2358,Tr East-Central Texas Plains Pine Forest and Woodland,85,187,194,0.33333,0.73333,0.76078
2359,2359,Tr Northeastern Interior Calcareous Oak Forest,85,187,194,0.3333,0.73333,0.70784
2360,2360,Tr South Florida Pine Rockland,13,69,133,0.05098,0.27058,0.52156
2361,2361,Tr Central Atlantic Coastal Plain Maritime Forest,107,209,206,0.4196,0.8196,0.80784
2362,2362,Tr Laurentian-Acadian Northern Pine Forest,174,245,224,0.68235,0.96078,0.87843
2363,2363,Tr Central Interior Highlands Dry Acidic Glade and Barrens,255,153,0,1,0.6,0
2364,2364,Tr Ozark-Ouachita Dry Oak Woodland,85,187,194,0.33333,0.73333,0.76078
2365,2365,Tr Boreal White Spruce-Fir Forest,182,250,227,0.71372,0.98039,0.89019
2366,2366,Tr Laurentian-Acadian Pine-Hemlock Forest,0,92,0,0,0.36078,0
2367,2367,Tr Ozark-Ouachita Shortleaf Pine Forest and Woodland,116,214,190,0.4549,0.83921,0.74509
2368,2368,Tr Southern Piedmont Dry Pine Forest,159,255,128,0.62352,1,0.50196
2369,2369,Tr Central Appalachian Dry Pine Forest,13,69,133,0.05098,0.27058,0.52156
2370,2370,Tr Appalachian Hemlock Forest,0,38,115,0,0.14902,0.45098
2371,2371,Tr West Gulf Coastal Plain Pine Forest,145,255,115,0.56862,1,0.45098
2372,2372,Tr East Gulf Coastal Plain Interior Shortleaf Pine Forest,116,214,190,0.4549,0.83921,0.74509
2373,2373,Tr Acadian Low-Elevation Spruce-Fir Forest,186,54,14,0.72941,0.21176,0.0549
2374,2374,Tr Acadian-Appalachian Montane Spruce-Fir Forest,186,54,14,0.72941,0.21176,0.0549
2375,2375,Tr Eastern Serpentine Woodland,0,38,115,0,0.14902,0.45098
2376,2376,Tr Southern Ridge and Valley/Cumberland Dry Calcareous Forest,85,187,194,0.33333,0.73333,0.76078
2377,2377,Tr Central Appalachian Rocky Pine Woodland,13,69,133,0.05098,0.27058,0.52156
2378,2378,Tr West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland,116,214,190,0.4549,0.83921,0.74509
2379,2379,Tr Northern Atlantic Coastal Plain Maritime Forest,145,255,115,0.56862,1,0.45098
2380,2380,Tr East Gulf Coastal Plain Maritime Forest,107,209,206,0.4196,0.8196,0.80784
2381,2381,Tr Lower Mississippi River Dune Woodland and Forest,85,187,194,0.33333,0.73333,0.76078
2382,2382,Tr Southern Atlantic Coastal Plain Maritime Forest,107,209,206,0.4196,0.8196,0.80784
2383,2383,Tr Edwards Plateau Limestone Savanna and Woodland,34,109,153,0.13333,0.42745,0.6
2384,2384,Tr Mississippi Delta Maritime Forest,145,255,115,0.56862,1,0.45098
2385,2385,Tr Western Great Plains Wooded Draw and Ravine,128,97,69,0.50196,0.38039,0.27058
2386,2386,Sh Acadian-Appalachian Alpine Tundra,82,52,34,0.32156,0.20392,0.13333
2387,2387,Tr Florida Peninsula Inland Scrub,145,255,115,0.56862,1,0.45098
2389,2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,82,52,34,0.32156,0.20392,0.13333
2390,2390,Sh Tamaulipan Mixed Deciduous Thornscrub,82,52,34,0.32156,0.20392,0.13333
2391,2391,Tr Tamaulipan Mesquite Upland Scrub,82,52,34,0.32156,0.20392,0.13333
2392,2392,Sh Tamaulipan Calcareous Thornscrub,82,52,34,0.32156,0.20392,0.13333
2393,2393,Sh Edwards Plateau Limestone Shrubland,34,109,153,0.13333,0.42745,0.6
2394,2394,Tr North-Central Interior Oak Savanna,6,53,122,0.02352,0.20784,0.47843
2395,2395,Tr North-Central Oak Barrens,44,127,163,0.17254,0.49803,0.63921
2396,2396,Tr Tamaulipan Closed Depression Wetland,91,195,199,0.356863,0.764706,0.780392
2397,2397,Tr Nashville Basin Limestone Glade and Woodland,82,52,34,0.32156,0.20392,0.13333
2398,2398,Tr Cumberland Sandstone Glade and Barrens,82,52,34,0.32156,0.20392,0.13333
2399,2399,Tr Southern Piedmont Glade and Barrens,0,38,115,0,0.14902,0.45098
2400,2400,Tr Central Appalachian Alkaline Glade and Woodland,82,52,34,0.32156,0.20392,0.13333
2401,2401,Tr Central Interior Highlands Calcareous Glade and Barrens,255,153,0,1,0.6,0
2402,2402,Sh Llano Estacado Caprock Escarpment and Breaks Shrubland and Steppe,0,0,0,0,0,0
2403,2403,Tr West Gulf Coastal Plain Catahoula Barrens,116,214,204,0.4549,0.83921,0.8
2405,2405,Tr West Gulf Coastal Plain Nepheline Syenite Glade,255,153,0,1,0.6,0
2406,2406,Tr Southern Piedmont Dry Oak Forest,159,255,128,0.62352,1,0.50196
2407,2407,Tr Laurentian Pine Barrens,174,245,224,0.68235,0.96078,0.87843
2408,2408,Tr Alabama Ketona Glade and Woodland,82,52,34,0.32156,0.20392,0.13333
2409,2409,He Great Lakes Alvar,216,216,191,0.847059,0.847059,0.74902
2410,2410,Tr Llano Uplift Acidic Forest Woodland and Glade,34,109,153,0.13333,0.42745,0.6
2411,2411,He Great Lakes Wet-Mesic Lakeplain Prairie,255,92,38,1,0.36078,0.14902
2412,2412,He North-Central Interior Sand and Gravel Tallgrass Prairie,255,137,64,1,0.53725,0.25098
2413,2413,Tr Bluegrass Savanna and Woodland,82,52,34,0.321569,0.203922,0.133333
2414,2414,Sh Southern Appalachian Grass and Shrub Bald,82,52,34,0.32156,0.20392,0.13333
2415,2415,Tr Arkansas Valley Prairie and Woodland,255,153,0,1,0.6,0
2416,2416,He Western Highland Rim Prairie and Barrens,82,52,34,0.32156,0.20392,0.13333
2417,2417,He Eastern Highland Rim Prairie and Barrens,82,52,34,0.32156,0.20392,0.13333
2418,2418,He Pennyroyal Karst Plain Prairie and Barrens,82,52,34,0.32156,0.20392,0.13333
2419,2419,He Southern Ridge and Valley Patch Prairie,82,52,34,0.32156,0.20392,0.13333
2420,2420,He Northern Tallgrass Prairie,255,137,64,1,0.53725,0.25098
2421,2421,He Central Tallgrass Prairie,255,137,64,1,0.53725,0.25098
2422,2422,He Texas Blackland Tallgrass Prairie,255,148,71,1,0.58039,0.27843
2423,2423,He Southeastern Great Plains Tallgrass Prairie,255,137,64,1,0.53725,0.25098
2424,2424,He East-Central Texas Plains Xeric Sandyland,255,153,0,1,0.6,0
2425,2425,Sh Florida Dry Prairie,116,214,204,0.4549,0.83921,0.8
2426,2426,He Southern Atlantic Coastal Plain Dune and Maritime Grassland,255,153,0,1,0.6,0
2428,2428,He West Gulf Coastal Plain Northern Calcareous Prairie,255,148,71,1,0.58039,0.27843
2429,2429,He West Gulf Coastal Plain Southern Calcareous Prairie,255,148,71,1,0.58039,0.27843
2430,2430,Tr Southern Coastal Plain Blackland Prairie and Woodland,0,38,115,0,0.14902,0.45098
2431,2431,He Southwest Florida Dune and Coastal Grassland,255,153,0,1,0.6,0
2433,2433,Tr East Gulf Coastal Plain Jackson Prairie and Woodland,255,148,71,1,0.58039,0.27843
2434,2434,He Texas-Louisiana Coastal Prairie,255,137,64,1,0.53725,0.25098
2435,2435,He East Gulf Coastal Plain Dune and Coastal Grassland,255,153,0,1,0.6,0
2436,2436,Sh Northern Atlantic Coastal Plain Dune and Swale,255,98,41,1,0.38431,0.16078
2437,2437,He Central and Upper Texas Coast Dune and Coastal Grassland,255,153,0,1,0.6,0
2438,2438,He Tamaulipan Savanna Grassland,82,52,34,0.32156,0.20392,0.13333
2439,2439,Sh Tamaulipan Lomas,255,171,87,1,0.67058,0.34117
2440,2440,He Tamaulipan Clay Grassland,255,153,0,1,0.6,0
2441,2441,Sh Tamaulipan Saline Thornscrub,82,52,34,0.32156,0.20392,0.13333
2442,2442,He South Texas Sand Sheet Grassland,255,121,54,1,0.47451,0.21176
2443,2443,He South Texas Dune and Coastal Grassland,255,153,0,1,0.6,0
2444,2444,Tr Eastern Boreal Floodplain,174,245,224,0.68235,0.96078,0.87843
2445,2445,Tr South Florida Dwarf Cypress Savanna,91,195,199,0.35686,0.7647,0.78039
2446,2446,Tr South Florida Pine Flatwoods,116,214,204,0.4549,0.83921,0.8
2447,2447,Tr South Florida Cypress Dome,91,195,199,0.35686,0.7647,0.78039
2448,2448,Tr Southern Piedmont Dry Oak-Pine Forest,159,255,128,0.62352,1,0.50196
2449,2449,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,116,214,204,0.4549,0.83921,0.8
2450,2450,Tr Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,116,214,204,0.4549,0.83921,0.8
2451,2451,Tr West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,116,214,204,0.4549,0.83921,0.8
2452,2452,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,91,195,199,0.35686,0.7647,0.78039
2453,2453,Tr Central Florida Pine Flatwoods,116,214,204,0.4549,0.83921,0.8
2454,2454,Tr East Gulf Coastal Plain Near-Coast Pine Flatwoods,116,214,204,0.4549,0.83921,0.8
2455,2455,Tr East Gulf Coastal Plain Southern Loblolly Flatwoods,100,204,206,0.39215,0.8,0.80784
2456,2456,Tr Northern Atlantic Coastal Plain Pitch Pine Lowland,116,214,204,0.4549,0.83921,0.8
2457,2457,Tr South-Central Interior/Upper Coastal Plain Wet Flatwoods,145,255,115,0.56862,1,0.45098
2458,2458,Tr West Gulf Coastal Plain Pine Flatwoods,145,255,115,0.56862,1,0.45098
2459,2459,Tr Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,91,195,199,0.35686,0.7647,0.78039
2460,2460,Tr Southern Coastal Plain Nonriverine Cypress Dome,91,195,199,0.35686,0.7647,0.78039
2461,2461,Tr Southern Coastal Plain Seepage Swamp and Baygall,216,216,191,0.84705,0.84705,0.74902
2462,2462,Tr West Gulf Coastal Plain Seepage Swamp and Baygall,216,216,191,0.84705,0.84705,0.74902
2463,2463,Tr Central Appalachian Dry Oak Forest,13,69,133,0.05098,0.27058,0.52156
2464,2464,Tr Acadian Near-Boreal Spruce Barrens,186,163,119,0.72941,0.63921,0.46666
2465,2465,Tr Acadian Sub-Boreal Spruce Flat,186,54,14,0.7294,0.2118,0.0549
2466,2466,Tr Great Lakes Wooded Dune and Swale,174,245,224,0.68235,0.96078,0.87843
2467,2467,Tr Tamaulipan Floodplain Forest,6,53,122,0.02352,0.20784,0.47843
2468,2468,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,216,216,191,0.84705,0.84705,0.74902
2469,2469,Tr Eastern Great Plains Floodplain Systems,6,53,122,0.02352,0.20784,0.47843
2470,2470,Tr Caribbean Coastal Wetland Systems,91,195,199,0.35686,0.7647,0.78039
2471,2471,Tr Central Interior and Appalachian Floodplain Systems,0,92,0,0,0.36078,0
2472,2472,Tr Central Interior and Appalachian Riparian Systems,0,92,0,0,0.36078,0
2473,2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,145,255,115,0.56862,1,0.45098
2474,2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,145,255,115,0.56862,1,0.45098
2475,2475,Tr Laurentian-Acadian Floodplain Systems,50,137,168,0.19607,0.53725,0.65882
2476,2476,Tr Tamaulipan Riparian Systems,6,53,122,0.02352,0.20784,0.47843
2477,2477,Tr Boreal Acidic Peatland Systems,186,163,119,0.72941,0.63921,0.46666
2478,2478,Tr Caribbean Swamp System,91,195,199,0.35686,0.7647,0.78039
2479,2479,Tr Central Interior and Appalachian Swamp Systems,0,92,0,0,0.36078,0
2480,2480,Tr Gulf and Atlantic Coastal Plain Swamp Systems,216,216,191,0.84705,0.84705,0.74902
2481,2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,50,137,168,0.19607,0.53725,0.65882
2482,2482,He Great Plains Prairie Pothole,91,195,199,0.35686,0.7647,0.78039
2483,2483,Tr South Florida Everglades Sawgrass Marsh,255,153,0,1,0.6,0
2484,2484,He South Florida Wet Marl Prairie,255,153,0,1,0.6,0
2485,2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,255,153,0,1,0.6,0
2486,2486,He Texas Saline Coastal Prairie,255,153,0,1,0.6,0
2487,2487,He Texas-Louisiana Coastal Prairie Pondshore,255,137,64,1,0.537255,0.25098
2488,2488,He Eastern Great Plains Wet Meadow-Prairie-Marsh,91,195,199,0.35686,0.7647,0.78039
2489,2489,Tr Floridian Highlands Freshwater Marsh,255,153,0,1,0.6,0
2490,2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,255,153,0,1,0.6,0
2491,2491,He Acadian Salt Marsh and Estuary Systems,255,92,38,1,0.36078,0.14902
2492,2492,He Great Lakes Coastal Marsh Systems,255,92,38,1,0.360784,0.14902
2493,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,91,195,199,0.35686,0.7647,0.78039
2494,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,255,92,38,1,0.360784,0.14902
2495,2495,He Western Great Plains Depressional Wetland Systems,255,137,64,1,0.53725,0.25098
2496,2496,Sps Caribbean Coastal Beach Systems,100,100,100,0,0,0
2497,2497,Sps Central Interior and Appalachian Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2498,2498,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2499,2499,Sps Laurentian-Acadian Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2501,2501,Tr Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,216,216,191,0.84705,0.84705,0.74902
2502,2502,Tr Central Appalachian Dry Oak-Pine Forest,13,69,133,0.05098,0.27058,0.52156
2503,2503,He Chihuahuan Loamy Plains Desert Grassland,255,204,51,1,0.8,0.2
2504,2504,He Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,255,204,51,1,0.8,0.2
2505,2505,Tr Ouachita Novaculite Glade and Woodland,85,187,194,0.33333,0.73333,0.76078
2506,2506,Tr West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,145,255,115,0.56862,1,0.45098
2507,2507,Tr Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,116,214,190,0.4549,0.83921,0.74509
2509,2509,Tr Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,85,187,194,0.33333,0.73333,0.76078
2510,2510,Tr Crowley's Ridge Sand Forest,116,214,190,0.4549,0.83921,0.74509
2511,2511,Tr Appalachian Northern Hardwood Forest,0,38,115,0,0.14902,0.45098
2512,2512,Tr Appalachian Hemlock-Northern Hardwood Forest,0,38,115,0,0.14902,0.45098
2513,2513,Tr Lower Mississippi River Flatwoods,145,255,115,0.56862,1,0.45098
2514,2514,He Central Florida Herbaceous Pondshore,255,153,0,1,0.6,0
2515,2515,He Southern Coastal Plain Herbaceous Seep and Bog,255,153,0,1,0.6,0
2516,2516,He Atlantic Coastal Plain Sandhill Seep,255,153,0,1,0.6,0
2517,2517,Tr Paleozoic Plateau Bluff and Talus,85,187,194,0.33333,0.73333,0.76078
2518,2518,Tr North-Central Interior Wet Flatwoods,145,255,115,0.56862,1,0.45098
2519,2519,Tr East-Central Texas Plains Post Oak Savanna and Woodland,85,187,194,0.33333,0.73333,0.76078
2522,2522,Sh Northern Atlantic Coastal Plain Heathland,240,165,46,0.94117,0.64705,0.18039
2523,2523,Tr Edwards Plateau Dry-Mesic Slope Forest and Woodland,34,109,153,0.13333,0.42745,0.6
2524,2524,Tr Edwards Plateau Mesic Canyon,34,109,153,0.13333,0.42745,0.6
2525,2525,Tr Edwards Plateau Riparian,6,53,122,0.02352,0.20784,0.47843
2526,2526,Tr Laurentian-Acadian Swamp Systems,186,54,14,0.72941,0.21176,0.0549
2527,2527,Tr East Gulf Coastal Plain Interior Oak Forest,116,214,190,0.4549,0.83921,0.74509
2529,2529,Tr Edwards Plateau Floodplain Terrace,0,6,53,122,0.02352,0.20784
2531,2531,Tr Ruderal Upland Vegetation,255,59,20,1,0.23137,0.07843
2532,2532,Tr Ruderal Forest-Northern and Central Hardwood and Conifer,255,59,20,1,0.23137,0.07843
2533,2533,Tr Ruderal Forest-Southeast Hardwood and Conifer,255,59,20,1,0.23137,0.07843
2534,2534,Tr Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,158,67,14,0.6196,0.26274,0.0549
2535,2535,Tr Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,158,67,14,0.6196,0.26274,0.0549
2536,2536,Tr Introduced Wetland Vegetation-Tree,0,132,168,0,0.51764,0.65882
2538,2538,He Introduced Wetland Vegetation-Herbaceous,0,132,168,0,0.51764,0.65882
2539,2539,Sh Modified/Managed Northern Tallgrass Grassland,255,204,0,1,0.8,0
2540,2540,Sh Modified/Managed Southern Tallgrass Grassland,255,204,0,1,0.8,0
2543,2543,Tr Laurentian-Acadian Calcareous Rocky Outcrop,216,216,191,0.84705,0.84705,0.74902
2544,2544,Tr Boreal Jack Pine-Black Spruce-Hardwood Forest,174,245,224,0.68235,0.96078,0.87843
2545,2545,Tr East Gulf Coastal Plain Near-Coast Pine Wet Flatwoods,116,214,204,0.4549,0.83921,0.8
2546,2546,Tr East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,116,214,190,0.4549,0.83921,0.74509
2547,2547,Tr Central Florida Pine Wet Flatwoods,116,214,204,0.4549,0.83921,0.8
2548,2548,Tr South Florida Pine Wet Flatwoods,116,214,204,0.4549,0.83921,0.8
2549,2549,Tr Southeastern Coastal Plain Natural Lakeshore,91,195,199,0.35686,0.7647,0.78039
2550,2550,Tr Pinus taeda Forest Alliance,145,255,115,0.56862,1,0.45098
2551,2551,Tr Pinus elliottii Saturated Temperate Woodland Alliance,13,69,133,0.05098,0.27058,0.52156
2552,2552,Tr Pinus palustris-Pinus elliottii Forest Alliance,116,214,204,0.4549,0.83921,0.8
2553,2553,Tr Mixed Loblolly-Slash Pine,116,214,204,0.4549,0.83921,0.8
2554,2554,Tr Acadian Low-Elevation Hardwood Forest,186,54,14,0.72941,0.21176,0.0549
2555,2555,Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest,186,54,14,0.72941,0.21176,0.0549
2556,2556,Tr Central Appalachian Rocky Oak Woodland,13,69,133,0.05098,0.27058,0.52156
2557,2557,Tr Central Appalachian Rocky Pine-Oak Woodland,13,69,133,0.05098,0.27058,0.52156
2558,2558,Tr Northern Appalachian-Acadian Rocky Heath Outcrop,82,52,34,0.32157,0.20392,0.13333
2559,2559,Tr Laurentian Acidic Rocky Outcrop,0,0,0,0,0,0
2560,2560,Tr North-Central Interior Quartzite Glade,85,187,194,0.33333,0.73333,0.76078
2561,2561,Sh Great Plains Comanchian Ruderal Grassland & Shrubland,0,255,105,46,1,0.41176
2562,2562,Tr Northeastern North American Temperate Forest Plantation,158,67,14,0.6196,0.26274,0.0549
2564,2564,Tr Northern & Central Exotic Ruderal Forest,0,255,105,46,1,0.41176
2565,2565,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,0,255,105,46,1,0.41176
2566,2566,Tr Northern & Central Native Ruderal Forest,0,255,105,46,1,0.41176
2567,2567,Sh Northern & Central Plains Ruderal & Planted Grassland & Shrubland,0,255,105,46,1,0.41176
2568,2568,Sh Northern & Central Ruderal Meadow & Shrubland,0,255,105,46,1,0.41176
2569,2569,He Northern & Central Ruderal Wet Meadow & Marsh,0,255,105,46,1,0.41176
2570,2570,Tr Southeastern Exotic Ruderal Flooded & Swamp Forest,0,0,132,168,0,0.51764
2571,2571,Tr Southeastern Exotic Ruderal Forest,0,255,105,46,1,0.41176
2572,2572,Tr Southeastern Native Ruderal Flooded & Swamp Forest,0,132,168,0,0.517647,0.658824
2573,2573,Tr Southeastern Native Ruderal Forest,0,255,105,46,1,0.41176
2574,2574,Tr Southeastern North American Temperate Forest Plantation,158,67,14,0.619608,0.262745,0.054902
2575,2575,Sh Southeastern Ruderal Grassland & Shrubland,0,255,105,46,1,0.41176
2576,2576,He Southeastern Ruderal Wet Meadow & Marsh,255,105,46,1,0.411765,0.180392
2577,2577,Tr Southern and Central Appalachian Mafic Glade and Barrens,0,38,115,0,0.14902,0.45098
2578,2578,Tr Southern Ridge and Valley Calcareous Glade and Woodland,0,38,115,0,0.14902,0.45098
2580,2580,Tr Northern Atlantic Coastal Plain Calcareous Ravine,145,255,115,0.56862,1,0.45098
2581,2581,Tr Panhandle Florida Limestone Glade,116,214,204,0.4549,0.83921,0.8
2582,2582,Tr Ozark-Ouachita Oak Forest and Woodland,116,214,190,0.4549,0.83921,0.74509
2583,2583,Tr Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,116,214,190,0.4549,0.83921,0.74509
2584,2584,Tr West Gulf Coastal Plain Hardwood Forest,145,255,115,0.56862,1,0.45098
2585,2585,Tr West Gulf Coastal Plain Pine-Hardwood Forest,145,255,115,0.56862,1,0.45098
2586,2586,Tr West Gulf Coastal Plain Sandhill Oak Forest and Woodland,116,214,190,0.4549,0.83921,0.74509
2587,2587,Tr West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,116,214,190,0.4549,0.83921,0.74509
2588,2588,Tr East Gulf Coastal Plain Southern Hardwood Flatwoods,100,204,206,0.39215,0.8,0.80784
2589,2589,Tr East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,100,204,206,0.39215,0.8,0.80784
2590,2590,Tr West Gulf Coastal Plain Hardwood Flatwoods,145,255,115,0.56862,1,0.45098
2591,2591,Tr West Gulf Coastal Plain Pine-Hardwood Flatwoods,145,255,115,0.56862,1,0.45098
2592,2592,He West Gulf Coastal Plain Flatwoods Pond,255,153,0,1,0.6,0
2593,2593,He East Gulf Coastal Plain Depression Pondshore,255,153,0,1,0.6,0
2594,2594,He Southeastern Coastal Plain Interdunal Wetland,255,153,0,1,0.6,0
2595,2595,Tr Southern Coastal Plain Oak Dome and Hammock,145,255,115,0.56862,1,0.45098
2596,2596,He Florida River Floodplain Marsh,255,153,0,1,0.6,0
2597,2597,He West Gulf Coastal Plain Herbaceous Seep and Bog,255,153,0,1,0.6,0
2598,2598,He Southern Atlantic Coastal Plain Depression Pondshore,255,153,0,1,0.6,0
2599,2599,He Central Florida Wet Prairie and Herbaceous Seep,255,153,0,1,0.6,0
2600,2600,Tr Western North American Boreal White Spruce Forest,182,250,227,0.71372,0.98039,0.89019
2601,2601,Tr Western North American Boreal Treeline White Spruce Woodland,182,250,227,0.71372,0.98039,0.89019
2602,2602,Tr Western North American Boreal Spruce-Lichen Woodland,182,250,227,0.71372,0.98039,0.89019
2603,2603,Tr Alaska Boreal White Spruce Forest,182,250,227,0.71372,0.98039,0.89019
2604,2604,Tr Western North American Boreal Mesic Black Spruce Forest,182,250,227,0.71372,0.98039,0.89019
2605,2605,Tr Western North American Boreal Mesic Birch-Aspen Forest,0,92,0,0,0,0
2606,2606,Sh Western North American Boreal Dry Aspen-Steppe Bluff,192,255,138,0.752941,1,0.541176
2607,2607,Tr Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,18,76,135,0.07058,0.29803,0.52941
2608,2608,Sh Alaska Sub-boreal Avalanche Slope Shrubland,146,237,224,0.57254,0.92941,0.87843
2609,2609,Sh Alaska Sub-boreal Mesic Subalpine Alder Shrubland,146,237,224,0.57254,0.92941,0.87843
2610,2610,Sh Western North American Boreal Mesic Scrub Birch-Willow Shrubland,73,175,188,0,1,1
2611,2611,He Western North American Sub-boreal Mesic Bluejoint Meadow,255,25,8,1,0.09803,0.03137
2612,2612,He Western North American Boreal Dry Grassland,255,114,48,1,0.44705,0.18823
2617,2617,Sh Western North American Boreal Shrub and Herbaceous Floodplain,255,153,0,1,1,0
2618,2618,Sh Western North American Boreal Shrub-Sedge Rich and Alkaline Fen,255,205,112,1,1,0
2621,2621,Tr Western North American Boreal Black Spruce Bog and Dwarf-Tree Peatland,79,36,26,0,0,0
2623,2623,Tr Western North American Boreal Black Spruce-Tamarack Fen,182,250,255,1,1,1
2624,2624,Sh Western North American Boreal Shrub Swamp,166,76,17,1,0,0
2626,2626,He Western North American Boreal Wet Meadow,255,205,112,1,1,0
2630,2630,Tr Western North American Boreal Wet Black Spruce-Tussock Woodland,182,250,255,1,1,1
2631,2631,Sh Western North American Boreal Alpine Dwarf-Shrub Summit,212,129,34,0.83137,0.50588,0.13333
2633,2633,He Western North American Boreal Alpine Mesic Herbaceous Meadow,255,211,119,1,1,0
2634,2634,Sh Western North American Boreal Alpine Dryas Dwarf-Shrubland,255,102,0,1,0.4,0
2635,2635,Sh Western North American Boreal Alpine Ericaceous Dwarf-Shrubland,212,129,34,0.83137,0.50588,0.13333
2636,2636,Sh Western North American Boreal Alpine Dwarf-Shrub-Lichen Shrubland,212,129,34,0.83137,0.50588,0.13333
2638,2638,Sh Alaska Arctic Mesic Alder Shrubland,146,237,224,1,1,1
2639,2639,Sh North American Arctic Mesic-Wet Low Willow Shrubland,73,175,188,0,1,1
2640,2640,Sh Aleutian Mesic-Wet Willow Shrubland,73,175,188,0,1,1
2641,2641,Tr Western North American Boreal Treeline White Spruce-Hardwood Woodland,159,255,128,1,1,0.501961
2642,2642,Tr Aleutian Kenai Birch-Cottonwood-Poplar Forest,0,92,0,0,0.36078,0
2643,2643,Sh Alaskan Pacific Maritime Alpine Dwarf-Shrubland,212,129,34,0.83137,0.50588,0.13333
2644,2644,Tr Alaskan Pacific Maritime Sitka Spruce Forest,0,117,0,0,0.45882,0
2645,2645,He Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,255,211,119,1,1,0
2646,2646,Tr Alaskan Pacific Maritime Western Hemlock Forest,4,45,117,0.01568,0.17647,0.45882
2648,2648,Tr Alaskan Pacific Maritime Mountain Hemlock Forest,0,92,0,0,0.36078,0
2649,2649,Tr Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland,0,92,0,0,0.36078,0
2650,2650,Tr Alaskan Pacific Maritime Periglacial Woodland and Shrubland,0,117,0,0,0.45882,0
2651,2651,He Aleutian Mesic Herbaceous Meadow,255,85,33,1,0,0
2652,2652,Sh Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,146,237,224,0.57254,0.92941,0.87843
2653,2653,He Alaskan Pacific Maritime Mesic Herbaceous Meadow,255,85,33,1,0.33333,0.12941
2654,2654,Tr Alaskan Pacific Maritime Sitka Spruce Beach Ridge,0,117,0,0,0.45882,0
2662,2662,He Temperate Pacific Freshwater Emergent Marsh,255,153,0,1,1,0
2663,2663,Sh North Pacific Shrub Swamp,166,76,17,1,0,0
2665,2665,He Alaskan Pacific Maritime Coastal Meadow and Slough-Levee,255,0,0,1,0,0
2667,2667,Tr Alaska Sub-boreal White-Lutz Spruce-Hardwood Forest and Woodland,159,255,128,1,1,1
2668,2668,He Temperate Pacific Tidal Salt and Brackish Marsh,255,153,10,1,1,0
2671,2671,He Aleutian American Dunegrass Grassland,255,0,0,1,0,0
2672,2672,Sh Alaskan Pacific Maritime Subalpine Copperbush Shrubland,146,237,224,0.57254,0.92941,0.87843
2674,2674,Sps Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field,212,129,34,0.83137,0.50588,0.13333
2675,2675,Tr Western North American Boreal Treeline Hardwood-White Spruce Woodland,18,76,135,0,0.298039,0.529412
2676,2676,Sh Alaskan Pacific Maritime Alpine Floodplain,18,76,135,0,0.298039,0.529412
2676,2676,Sh Alaskan Pacific Maritime Alpine Floodplain,255,153,0,1,0.6,0
2677,2677,Tr Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,182,250,227,1,1,1
2678,2678,Tr Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,182,250,227,0.71372,0.98039,0.89019
2679,2679,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,159,255,128,0.62352,1,0.50196
